"filename", "language", "YAML", "Groovy", "Markdown", "Dart", "Properties", "JSON", "XML", "C++", "Swift", "HTML", "comment", "blank", "total"
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/json-files/History.json", "JSON", 0, 0, 0, 0, 0, 546, 0, 0, 0, 0, 0, 0, 546
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/json-files/Humanities.json", "JSON", 0, 0, 0, 0, 0, 1794, 0, 0, 0, 0, 0, 0, 1794
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/json-files/Information Technology.json", "JSON", 0, 0, 0, 0, 0, 1410, 0, 0, 0, 0, 0, 0, 1410
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/json-files/Language Learning.json", "JSON", 0, 0, 0, 0, 0, 1458, 0, 0, 0, 0, 0, 0, 1458
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/json-files/Math and Logic.json", "JSON", 0, 0, 0, 0, 0, 1186, 0, 0, 0, 0, 0, 0, 1186
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/json-files/Personal Development.json", "JSON", 0, 0, 0, 0, 0, 818, 0, 0, 0, 0, 0, 0, 818
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/json-files/Physical Science and Engineering.json", "JSON", 0, 0, 0, 0, 0, 834, 0, 0, 0, 0, 0, 0, 834
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/json-files/Physics.json", "JSON", 0, 0, 0, 0, 0, 402, 0, 0, 0, 0, 0, 0, 402
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/json-files/Science.json", "JSON", 0, 0, 0, 0, 0, 738, 0, 0, 0, 0, 0, 0, 738
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/json-files/Social Sciences.json", "JSON", 0, 0, 0, 0, 0, 3906, 0, 0, 0, 0, 0, 0, 3906
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/json-files/places.json", "JSON", 0, 0, 0, 0, 0, 536, 0, 0, 0, 0, 0, 0, 536
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/jsondata/course_new.json", "JSON", 0, 0, 0, 0, 0, 51762, 0, 0, 0, 0, 0, 0, 51762
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/admin.dart", "Dart", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 6, 36
"/Users/ipriyam26/FlutterProjects/deep_pocket_1/lib/get_course.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 6, 23
